Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7688,14741,22429
February 28 2017,7889,15209,23098
March 31 2017,8093,15599,23692
April 30 2017,8287,16108,24395
May 31 2017,8498,16573,25071
June 30 2017,8752,16991,25743
July 31 2017,8932,17384,26316
August 31 2017,9148,17682,26830
September 30 2017,9375,18082,27457
October 31 2017,9650,18527,28177
November 30 2017,9889,18880,28769
December 31 2017,10121,19188,29309
January 31 2018,10535,19736,30271
February 28 2018,10834,19980,30814
March 31 2018,11181,20397,31578
April 30 2018,11515,20928,32443
May 31 2018,11933,21705,33638
June 30 2018,12356,22438,34794
July 31 2018,12649,22988,35637
August 31 2018,12963,23583,36546
September 30 2018,13292,24167,37459
October 31 2018,13640,25524,39164
November 30 2018,14020,26786,40806
December 31 2018,14343,27727,42070
January 31 2019,14725,29116,43841
February 28 2019,14890,29693,44583
March 31 2019,15038,30034,45072
April 30 2019,15293,31055,46348
May 31 2019,15558,31751,47309
June 30 2019,15807,32582,48389
July 31 2019,16070,33564,49634
August 31 2019,16275,34314,50589
September 30 2019,16507,35081,51588
October 31 2019,16787,36656,53443
November 30 2019,16959,37107,54066
December 31 2019,17130,37760,54890
January 31 2020,17353,39789,57142
February 29 2020,17465,40271,57736
March 31 2020,17605,41004,58609
April 30 2020,17564,41354,58918
May 31 2020,17578,41350,58928
June 30 2020,17678,41613,59291
July 31 2020,17814,43014,60828
August 31 2020,17960,43610,61570
September 30 2020,18171,44180,62351
October 31 2020,18426,45199,63625
November 30 2020,18600,46558,65158
December 31 2020,18890,47355,66245
January 31 2021,19222,48922,68144
February 28 2021,19510,49790,69300
March 31 2021,19867,50613,70480
April 30 2021,20322,52476,72798
May 31 2021,20723,53721,74444
June 30 2021,21311,54838,76149
July 31 2021,21713,56886,78599
August 31 2021,22128,58408,80536
September 30 2021,22455,59607,82062
October 31 2021,22867,61328,84195
November 30 2021,23277,62963,86240
December 31 2021,23556,64466,88022
January 31 2022,23891,66058,89949
February 28 2022,24195,67655,91850
March 31 2022,24649,69253,93902
April 30 2022,25007,71653,96660
May 31 2022,25474,73038,98512
June 30 2022,25985,74720,100705
July 31 2022,26290,77173,103463
August 31 2022,26742,79480,106222
September 30 2022,27075,80947,108022
October 31 2022,27423,84209,111632
November 30 2022,27766,87498,115264
December 31 2022,28186,89849,118035
January 31 2023,28715,93122,121837
February 28 2023,29264,95569,124833
March 31 2023,29942,98167,128109
April 30 2023,30872,101554,132426
May 31 2023,31688,105128,136816
June 30 2023,32587,108887,141474
July 31 2023,33252,112631,145883
August 31 2023,34192,118335,152527
September 30 2023,35115,122052,157167
October 31 2023,35975,126422,162397
November 30 2023,36700,129801,166501
December 31 2023,37427,133522,170949
January 31 2024,38580,138092,176672
February 29 2024,39390,141850,181240
March 31 2024,40134,144377,184511
April 30 2024,41030,147968,188998
May 31 2024,41648,151055,192703
June 30 2024,42053,152179,194232
