Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Plug-in Hybrid Electric Vehicle (PHEV),WBY8P8C51K,477294338,2019,BMW,i3,Passenger,126,New,Original Registration,May 29 2019,2019,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJ3E1EAXK,478657924,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,October 24 2022,2022,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),3FMTK4SE2P,233490204,2023,FORD,Mustang Mach-E,Passenger,0,New,Original Title,March 27 2023,2023,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJYGDED6M,144905659,2021,TESLA,Model Y,Passenger,0,New,Original Registration,March 09 2021,2021,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),1N4AZ0CP4D,140174737,2013,NISSAN,Leaf,Passenger,75,New,Original Title,January 17 2014,2014,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),7SAYGDEE4P,258134334,2023,TESLA,Model Y,Passenger,0,New,Original Registration,October 18 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EB5K,124519636,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,March 27 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),7SAYGDEE7P,227325094,2023,TESLA,Model Y,Passenger,0,Used,Registration Renewal,October 24 2023,2023,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EA5P,229969687,2023,TESLA,Model 3,Passenger,0,New,Original Title,February 17 2023,2023,King,SEATTLE,WA,98133
Battery Electric Vehicle (BEV),5YJSA1E21F,291199989,2015,TESLA,Model S,Passenger,208,Used,Registration Renewal,May 15 2023,2023,King,KIRKLAND,WA,98034
Battery Electric Vehicle (BEV),5YJ3E1EB6J,154137896,2018,TESLA,Model 3,Passenger,215,Used,Registration Renewal,October 12 2019,2019,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),5YJ3E1EB8N,194770320,2022,TESLA,Model 3,Passenger,0,Used,Registration Renewal,February 22 2024,2024,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),7SAYGDEE3N,187302349,2022,TESLA,Model Y,Passenger,0,New,Original Registration,February 10 2022,2022,King,REDMOND,WA,98052
Battery Electric Vehicle (BEV),5YJ3E1EBXK,475620652,2019,TESLA,Model 3,Passenger,220,Used,Registration Renewal,August 02 2022,2022,King,SEATTLE,WA,98125
Battery Electric Vehicle (BEV),KMHC85LJ3M,218232437,2021,HYUNDAI,Ioniq,Passenger,0,Used,Original Registration,October 05 2022,2022,Thurston,OLYMPIA,WA,98501
Battery Electric Vehicle (BEV),5YJYGDEEXL,109669262,2020,TESLA,Model Y,Passenger,291,Used,Registration Renewal,June 09 2023,2023,King,BELLEVUE,WA,98008
Battery Electric Vehicle (BEV),WVWKR7AU7K,194741592,2019,VOLKSWAGEN,e-Golf,Passenger,125,Used,Registration Renewal,April 04 2024,2024,Cowlitz,LONGVIEW,WA,98632
Plug-in Hybrid Electric Vehicle (PHEV),5UXTS1C06L,120402992,2020,BMW,X3,Passenger,17,Used,Registration Renewal,July 20 2021,2021,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),1N4AZ0CP0F,152086819,2015,NISSAN,Leaf,Passenger,84,New,Original Registration,November 03 2015,2015,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),3C3CFFGE4F,232778010,2015,FIAT,500,Passenger,87,Used,Registration at time of Transfer,March 10 2017,2017,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJRE1A32A,154326007,2010,TESLA,Roadster,Passenger,245,Used,Original Registration,November 19 2013,2013,King,SAMMAMISH,WA,98074
